movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com//title/tt0086190/,2h 11m,Action,Richard Marquand,https://www.imdb.com/name/nm0549658/?ref_=tt_ov_dr,"['Jagged Edge', 'Nowhere to Run', 'NBC Special Treat']"
2001: A Space Odyssey,1968,8.3,https://www.imdb.com//title/tt0062622/,2h 29m,Adventure,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
Eternal Sunshine of the Spotless Mind,2004,8.3,https://www.imdb.com//title/tt0338013/,1h 48m,Drama,Michel Gondry,https://www.imdb.com/name/nm0327273/?ref_=tt_ov_dr,"['La science des rêves', 'The We and the I', 'Be Kind Rewind']"
Reservoir Dogs,1992,8.3,https://www.imdb.com//title/tt0105236/,1h 39m,Crime,Quentin Tarantino,https://www.imdb.com/name/nm0000233/?ref_=tt_ov_dr,"['Pulp Fiction', 'Once Upon a Time in... Hollywood', 'The Hateful Eight']"
Tengoku to jigoku,1963,8.3,https://www.imdb.com//title/tt0057565/,2h 23m,Crime,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
Capharnaüm,2018,8.3,https://www.imdb.com//title/tt8267604/,2h 6m,Drama,Nadine Labaki,https://www.imdb.com/name/nm1701024/?ref_=tt_ov_dr,"['Capharnaüm', 'Sukkar banat', 'Mea culpa']"
Citizen Kane,1941,8.3,https://www.imdb.com//title/tt0033467/,1h 59m,Drama,Orson Welles,https://www.imdb.com/name/nm0000080/?ref_=tt_ov_dr,"['Touch of Evil', 'The Lady from Shanghai', 'Le procès']"
Lawrence of Arabia,1962,8.3,https://www.imdb.com//title/tt0056172/,3h 38m,Adventure,David Lean,https://www.imdb.com/name/nm0000180/?ref_=tt_ov_dr,"['The Bridge on the River Kwai', 'Doctor Zhivago', 'A Passage to India']"
Jagten,2012,8.3,https://www.imdb.com//title/tt2106476/,1h 55m,Drama,Thomas Vinterberg,https://www.imdb.com/name/nm0899121/?ref_=tt_ov_dr,"['Druk', 'Festen', 'Submarino']"
North by Northwest,1959,8.3,https://www.imdb.com//title/tt0053125/,2h 16m,Action,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com//title/tt0022100/,1h 57m,Crime,Fritz Lang,https://www.imdb.com/name/nm0000485/?ref_=tt_ov_dr,"['Metropolis', 'M - Eine Stadt sucht einen Mörder', 'Spione']"
Vertigo,1958,8.2,https://www.imdb.com//title/tt0052357/,2h 8m,Mystery,Alfred Hitchcock,https://www.imdb.com/name/nm0000033/?ref_=tt_ov_dr,"['North by Northwest', 'Vertigo', 'The Birds']"
Le fabuleux destin d'Amélie Poulain,2001,8.2,https://www.imdb.com//title/tt0211915/,2h 2m,Comedy,Jean-Pierre Jeunet,https://www.imdb.com/name/nm0000466/?ref_=tt_ov_dr,"[""Le fabuleux destin d'Amélie Poulain"", 'Delicatessen', 'Micmacs à tire-larigot']"
A Clockwork Orange,1971,8.2,https://www.imdb.com//title/tt0066921/,2h 16m,Crime,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
Idi i smotri,1985,8.2,https://www.imdb.com//title/tt0091251/,2h 22m,Drama,Elem Klimov,https://www.imdb.com/name/nm0459552/?ref_=tt_ov_dr,"['Agoniya', 'Pokhozhdeniya zubnogo vracha', 'Sport, sport, sport']"
Full Metal Jacket,1987,8.2,https://www.imdb.com//title/tt0093058/,1h 56m,Drama,Stanley Kubrick,https://www.imdb.com/name/nm0000040/?ref_=tt_ov_dr,"['Barry Lyndon', 'A Clockwork Orange', 'Full Metal Jacket']"
Double Indemnity,1944,8.2,https://www.imdb.com//title/tt0036775/,1h 47m,Crime,Billy Wilder,https://www.imdb.com/name/nm0000697/?ref_=tt_ov_dr,"['Some Like It Hot', 'Sabrina', 'Sunset Blvd.']"
The Apartment,1960,8.2,https://www.imdb.com//title/tt0053604/,2h 5m,Comedy,Billy Wilder,https://www.imdb.com/name/nm0000697/?ref_=tt_ov_dr,"['Some Like It Hot', 'Sabrina', 'Sunset Blvd.']"
Scarface,1983,8.2,https://www.imdb.com//title/tt0086250/,2h 50m,Crime,Brian De Palma,https://www.imdb.com/name/nm0000361/?ref_=tt_ov_dr,"['Body Double', 'The Untouchables', 'Snake Eyes']"
Ikiru,1952,8.2,https://www.imdb.com//title/tt0044741/,2h 23m,Drama,Akira Kurosawa,https://www.imdb.com/name/nm0000041/?ref_=tt_ov_dr,"['Kagemusha', 'Ran', 'Tengoku to jigoku']"
The Sting,1973,8.2,https://www.imdb.com//title/tt0070735/,2h 9m,Comedy,George Roy Hill,https://www.imdb.com/name/nm0001351/?ref_=tt_ov_dr,"['Butch Cassidy and the Sundance Kid', 'Slap Shot', 'Slaughterhouse-Five']"
To Kill a Mockingbird,1962,8.2,https://www.imdb.com//title/tt0056592/,2h 9m,Crime,Robert Mulligan,https://www.imdb.com/name/nm0612322/?ref_=tt_ov_dr,"[""Summer of '42"", 'The Other', 'The Nickel Ride']"
Taxi Driver,1976,8.2,https://www.imdb.com//title/tt0075314/,1h 54m,Crime,Martin Scorsese,https://www.imdb.com/name/nm0000217/?ref_=tt_ov_dr,"['Mean Streets', 'Goodfellas', 'The Age of Innocence']"
L.A. Confidential,1997,8.2,https://www.imdb.com//title/tt0119488/,2h 18m,Crime,Curtis Hanson,https://www.imdb.com/name/nm0000436/?ref_=tt_ov_dr,"['In Her Shoes', 'The Hand That Rocks the Cradle', 'Wonder Boys']"
Up,2009,8.2,https://www.imdb.com//title/tt1049413/,1h 36m,Animation,Pete Docter,https://www.imdb.com/name/nm0230032/?ref_=tt_ov_dr,"['Inside Out', 'Soul', 'Monsters, Inc.']"
Heat,1995,8.2,https://www.imdb.com//title/tt0113277/,2h 50m,Action,Michael Mann,https://www.imdb.com/name/nm0000520/?ref_=tt_ov_dr,"['Collateral', 'The Last of the Mohicans', 'Manhunter']"
Hamilton,2020,8.2,https://www.imdb.com//title/tt8503618/,2h 40m,Biography,Thomas Kail,https://www.imdb.com/name/nm2371802/?ref_=tt_ov_dr,"['Fosse/Verdon', 'Grease Live!', 'Fiddler on the Roof']"
Metropolis,1927,8.2,https://www.imdb.com//title/tt0017136/,2h 33m,Drama,Fritz Lang,https://www.imdb.com/name/nm0000485/?ref_=tt_ov_dr,"['Metropolis', 'M - Eine Stadt sucht einen Mörder', 'Spione']"
Jodaeiye Nader az Simin,2011,8.2,https://www.imdb.com//title/tt1832382/,2h 3m,Drama,Asghar Farhadi,https://www.imdb.com/name/nm1410815/?ref_=tt_ov_dr,"['Forushande', 'Jodaeiye Nader az Simin', 'Le passé']"
